iter	RMSE
0	402396.8751
1	370446.5929
2	341048.7428
3	316130.8736
4	293759.1119
5	272240.2331
6	254380.9783
7	236411.0825
8	222121.1402
9	207732.5855
10	195329.2856
11	183861.1372
12	173534.2543
13	163926.2202
14	155496.7549
15	147603.5982
16	141391.9922
17	135569.4312
18	129856.4549
19	124502.142
20	119886.5245
21	115981.1582
22	112482.5576
23	109321.0448
24	105989.3088
25	103316.788
26	100863.3827
27	98701.33134
28	96826.66716
29	94989.58723
30	93251.49915
31	91638.75766
32	90247.79373
33	88934.6822
34	88065.42247
35	87127.84009
36	86244.95564
37	85448.97477
38	84613.68748
39	83678.39691
40	83170.5437
41	82615.57225
42	82085.77542
43	81415.9754
44	80924.4191
45	80374.59428
46	80071.91648
47	79501.75898
48	78876.01753
49	78322.74105
50	77994.62624
51	77558.16772
52	77107.73362
53	76871.50146
54	76287.9956
55	75761.88549
56	75066.42079
57	74760.10763
58	74436.51982
59	74179.46837
60	73890.2379
61	73699.08593
62	73313.31148
63	72933.39793
64	72618.80542
65	72410.79015
66	72011.03714
67	71695.26876
68	71443.41716
69	71138.54612
70	70853.74636
71	70565.05821
72	70373.5897
73	70128.03867
74	69835.57894
75	69580.29636
76	69243.07606
77	68985.76521
78	68818.18539
79	68423.46785
80	68281.03545
81	67995.98505
82	67811.0264
83	67425.16562
84	67209.45941
85	66977.70138
86	66587.09266
87	66436.00907
88	66289.08653
89	66088.80938
90	65881.843
91	65514.52764
92	65179.54371
93	64935.80931
94	64714.69042
95	64510.5866
96	64100.5811
97	63920.54922
98	63567.72939
99	63318.69442
100	63061.81314
101	62699.11735
102	62565.34461
103	62226.0771
104	61994.06233
105	61625.66755
106	61567.70635
107	61333.73214
108	61080.81161
109	60831.02897
110	60716.57593
111	60493.7707
112	60257.03374
113	59833.98995
114	59591.33257
115	59539.93797
116	59247.72842
117	59058.6322
118	58783.59718
119	58375.31892
120	57988.85536
121	57876.9283
122	57705.26578
123	57602.92091
124	57229.80883
125	56913.96853
126	56574.22767
127	56314.59037
128	56119.70218
129	55868.94772
130	55721.04358
131	55562.53414
132	55374.86231
133	55212.13702
134	55037.38608
135	54819.61104
136	54590.9873
137	54243.38238
138	54069.86753
139	53707.95458
140	53442.24522
141	53112.74475
142	52916.16032
143	52854.46486
144	52722.09817
145	52421.70306
146	52245.36073
147	51919.90321
148	51659.16332
149	51471.99131
150	51287.97807
151	51120.34686
152	50947.34357
153	50765.36455
154	50516.99946
155	50365.12565
156	50079.70542
157	49949.87571
158	49776.80085
159	49542.9514
160	49526.34659
161	49394.18141
162	49179.57744
163	48877.77027
164	48701.52973
165	48537.00872
166	48371.66128
167	48354.10443
168	48190.45791
169	48064.57381
170	47840.35191
171	47643.97471
172	47425.33132
173	47299.82521
174	47125.11241
175	46990.45407
176	46729.82188
177	46620.55079
178	46607.72258
179	46453.05086
180	46342.23856
181	46248.45906
182	46034.69695
183	45823.8947
184	45740.893
185	45387.74945
186	45282.908
187	45101.52232
188	45003.34772
189	44853.069
190	44672.24057
191	44521.01819
192	44304.7163
193	44265.13631
194	44171.87969
195	43973.94465
196	43628.06809
197	43506.47695
198	43214.62296
199	43049.61714
200	42841.52258
201	42716.56694
202	42633.59251
203	42380.93151
204	42369.47479
205	42163.024
206	42044.36424
207	41823.65822
208	41590.85212
209	41348.34725
210	41189.26316
211	41062.4479
212	40862.66275
213	40592.60446
214	40423.2252
215	40373.10571
216	40246.88961
217	40123.1569
218	39993.19156
219	39793.01883
220	39455.26866
221	39310.44599
222	39168.05622
223	38941.33866
224	38719.96771
225	38532.36806
226	38374.68408
227	38243.37275
228	38121.17049
229	38034.69262
230	37965.67118
231	37865.07243
232	37661.62333
233	37572.90906
234	37370.17261
235	37360.42304
236	37183.28831
237	37106.32114
238	37049.38373
239	36966.26216
240	36852.23909
241	36696.74687
242	36586.73617
243	36437.80352
244	36277.82555
245	36127.54951
246	36045.01516
247	35880.78239
248	35778.27743
249	35675.59699
250	35573.34675
251	35497.17998
252	35358.36781
253	35249.9905
254	35161.49727
255	35060.42185
256	34933.50519
257	34836.67971
258	34741.63079
259	34569.0216
260	34531.28834
261	34410.26679
262	34300.97368
263	34232.39871
264	34101.74172
265	34001.76209
266	33979.44345
267	33860.52109
268	33792.35821
269	33760.35227
270	33660.62379
271	33581.3362
272	33563.37501
273	33525.69482
274	33478.20042
275	33403.53756
276	33311.40976
277	33206.79033
278	33099.11851
279	33046.1692
280	32957.78476
281	32923.61743
282	32837.93737
283	32771.96899
284	32692.53953
285	32659.19139
286	32587.37813
287	32469.30657
288	32463.51497
289	32345.67298
290	32323.40314
291	32229.79593
292	32142.95876
293	32017.94453
294	31928.33006
295	31831.07356
296	31744.33515
297	31586.30316
298	31470.7135
299	31451.54863
300	31336.10297
301	31317.77581
302	31224.19694
303	31133.2561
304	31056.62918
305	30954.70387
306	30939.99847
307	30888.36303
308	30762.19108
309	30644.25214
310	30595.87548
311	30591.44694
312	30576.8055
313	30472.10502
314	30378.55218
315	30322.73163
316	30267.57537
317	30222.71089
318	30088.21653
319	29995.542
320	29915.31584
321	29836.4105
322	29702.17252
323	29691.19839
324	29565.64714
325	29512.70259
326	29411.32074
327	29316.64836
328	29193.74569
329	29119.20672
330	29063.6677
331	28973.27224
332	28846.17704
