iter	Passed	Remaining
0	5	2555
1	11	2766
2	17	2974
3	24	3027
4	30	3059
5	36	3043
6	47	3323
7	55	3441
8	63	3439
9	69	3411
10	76	3380
11	82	3359
12	88	3333
13	95	3317
14	101	3297
15	108	3276
16	115	3292
17	122	3270
18	128	3257
19	135	3240
20	141	3224
21	149	3253
22	156	3247
23	163	3234
24	169	3221
25	176	3217
26	182	3201
27	189	3189
28	195	3174
29	202	3168
30	208	3159
31	215	3149
32	221	3131
33	227	3123
34	235	3129
35	241	3117
36	248	3111
37	255	3101
38	261	3089
39	267	3074
40	273	3066
41	281	3067
42	288	3067
43	295	3058
44	301	3048
45	307	3037
46	313	3022
47	320	3014
48	326	3002
49	332	2993
50	338	2984
51	344	2971
52	352	2971
53	358	2962
54	365	2957
55	372	2949
56	378	2943
57	385	2935
58	392	2930
59	397	2917
60	404	2908
61	411	2907
62	417	2899
63	424	2892
64	431	2884
65	437	2876
66	443	2867
67	450	2864
68	457	2857
69	463	2849
70	472	2852
71	479	2852
72	485	2842
73	492	2837
74	499	2830
75	505	2821
76	512	2817
77	520	2815
78	527	2812
79	534	2804
80	540	2796
81	546	2787
82	553	2780
83	560	2773
84	566	2767
85	573	2763
86	580	2757
87	588	2754
88	594	2746
89	601	2742
90	608	2735
91	615	2728
92	622	2722
93	629	2717
94	635	2708
95	657	2765
96	663	2755
97	670	2750
98	678	2747
99	685	2741
100	692	2734
101	699	2727
102	705	2719
103	711	2710
104	719	2705
105	725	2698
106	732	2690
107	739	2684
108	747	2679
109	754	2674
110	760	2666
111	767	2659
112	775	2656
113	782	2648
114	788	2639
115	794	2630
116	801	2624
117	808	2616
118	814	2608
119	821	2600
120	827	2593
121	835	2588
122	841	2580
123	848	2573
124	855	2565
125	862	2559
126	869	2554
127	876	2546
128	883	2541
129	890	2535
130	898	2530
131	904	2522
132	911	2514
133	918	2507
134	925	2501
135	932	2494
136	939	2488
137	946	2481
138	954	2477
139	960	2470
140	967	2463
141	974	2456
142	981	2450
143	989	2445
144	995	2437
145	1002	2430
146	1009	2423
147	1015	2415
148	1022	2408
149	1028	2400
150	1035	2393
151	1041	2385
152	1048	2377
153	1054	2369
154	1060	2361
155	1068	2355
156	1074	2347
157	1081	2340
158	1087	2331
159	1093	2323
160	1099	2315
161	1105	2307
162	1112	2299
163	1118	2291
164	1126	2288
165	1133	2280
166	1139	2272
167	1145	2264
168	1151	2255
169	1158	2248
170	1164	2241
171	1171	2234
172	1178	2227
173	1185	2221
174	1191	2212
175	1213	2233
176	1219	2226
177	1227	2219
178	1233	2211
179	1240	2204
180	1247	2198
181	1253	2189
182	1259	2181
183	1266	2174
184	1273	2167
185	1279	2160
186	1286	2152
187	1292	2144
188	1299	2137
189	1306	2131
190	1312	2123
191	1318	2115
192	1325	2107
193	1331	2100
194	1338	2092
195	1344	2085
196	1362	2095
197	1368	2086
198	1374	2078
199	1380	2071
200	1387	2063
201	1394	2056
202	1400	2049
203	1407	2042
204	1413	2034
205	1421	2028
206	1428	2021
207	1434	2014
208	1441	2007
209	1448	2000
210	1456	1994
211	1463	1987
212	1470	1980
213	1477	1974
214	1483	1967
215	1490	1959
216	1497	1952
217	1503	1944
218	1510	1938
219	1517	1931
220	1525	1925
221	1531	1918
222	1539	1912
223	1546	1905
224	1553	1898
225	1560	1891
226	1582	1902
227	1589	1895
228	1597	1890
229	1604	1883
230	1611	1876
231	1618	1869
232	1624	1861
233	1630	1853
234	1637	1846
235	1644	1839
236	1650	1832
237	1658	1825
238	1664	1818
239	1671	1810
240	1678	1803
241	1686	1797
242	1694	1791
243	1701	1784
244	1708	1777
245	1715	1771
246	1722	1763
247	1729	1756
248	1735	1749
249	1742	1742
250	1748	1734
251	1755	1727
252	1761	1720
253	1768	1712
254	1776	1706
255	1783	1699
256	1789	1692
257	1796	1685
258	1803	1678
259	1810	1671
260	1817	1664
261	1824	1656
262	1831	1650
263	1837	1643
264	1844	1635
265	1850	1628
266	1857	1620
267	1863	1613
268	1870	1605
269	1876	1598
270	1883	1591
271	1891	1585
272	1897	1577
273	1904	1570
274	1910	1563
275	1918	1556
276	1926	1550
277	1932	1543
278	1939	1536
279	1946	1529
280	1952	1521
281	1959	1514
282	1965	1507
283	1972	1500
284	1978	1492
285	1985	1485
286	1991	1478
287	1998	1471
288	2005	1464
289	2011	1456
290	2017	1449
291	2024	1441
292	2030	1434
293	2037	1427
294	2043	1419
295	2049	1412
296	2055	1404
297	2061	1397
298	2068	1390
299	2075	1383
300	2081	1376
301	2088	1368
302	2095	1362
303	2101	1354
304	2107	1347
305	2114	1340
306	2120	1333
307	2127	1326
308	2133	1318
309	2139	1311
310	2145	1304
311	2152	1297
312	2159	1290
313	2166	1283
314	2173	1276
315	2180	1269
316	2187	1262
317	2193	1255
318	2199	1247
319	2205	1240
320	2211	1233
321	2218	1226
322	2225	1219
323	2231	1212
324	2238	1205
325	2244	1198
326	2250	1190
327	2257	1183
328	2263	1176
329	2270	1169
330	2276	1162
331	2283	1155
332	2290	1148
333	2296	1141
334	2303	1134
335	2310	1127
336	2316	1120
337	2322	1113
338	2329	1106
339	2335	1099
340	2342	1092
341	2348	1085
342	2354	1077
343	2361	1071
344	2368	1064
345	2374	1057
346	2381	1050
347	2402	1049
348	2409	1042
349	2418	1036
350	2426	1030
351	2434	1023
352	2443	1017
353	2451	1011
354	2459	1004
355	2468	998
356	2476	991
357	2482	984
358	2489	977
359	2496	970
360	2503	963
361	2510	956
362	2513	948
363	2520	941
364	2527	934
365	2535	928
366	2542	921
367	2548	914
368	2554	906
369	2561	899
370	2567	892
371	2574	885
372	2581	878
373	2587	871
374	2595	865
375	2602	858
376	2608	851
377	2616	844
378	2624	837
379	2632	831
380	2638	824
381	2645	817
382	2653	810
383	2660	803
384	2666	796
385	2673	789
386	2679	782
387	2686	775
388	2692	768
389	2699	761
390	2705	754
391	2712	747
392	2719	740
393	2727	733
394	2733	726
395	2739	719
396	2746	712
397	2753	705
398	2760	698
399	2766	691
400	2773	684
401	2779	677
402	2786	670
403	2793	663
404	2799	656
405	2806	649
406	2813	642
407	2820	635
408	2827	629
409	2834	622
410	2841	615
411	2848	608
412	2854	601
413	2861	594
414	2869	587
415	2875	580
416	2882	573
417	2889	566
418	2896	559
419	2902	552
420	2909	546
421	2917	539
422	2924	532
423	2932	525
424	2938	518
425	2946	511
426	2952	504
427	2959	497
428	2966	490
429	2973	484
430	2980	477
431	2986	470
432	2993	463
433	2999	456
434	3006	449
435	3013	442
436	3020	435
437	3026	428
438	3033	421
439	3039	414
440	3045	407
441	3051	400
442	3058	393
443	3065	386
444	3072	379
445	3078	372
446	3084	365
447	3091	358
448	3098	351
449	3105	345
450	3112	338
451	3119	331
452	3125	324
453	3132	317
454	3139	310
455	3145	303
456	3151	296
457	3158	289
458	3164	282
459	3170	275
460	3178	268
461	3184	261
462	3191	255
463	3197	248
464	3203	241
465	3210	234
466	3217	227
467	3223	220
468	3229	213
469	3237	206
470	3243	199
471	3249	192
472	3256	185
473	3263	178
474	3270	172
475	3277	165
476	3283	158
477	3289	151
478	3297	144
479	3304	137
480	3310	130
481	3316	123
482	3322	116
483	3330	110
484	3337	103
485	3343	96
486	3350	89
487	3358	82
488	3364	75
489	3370	68
490	3377	61
491	3384	55
492	3391	48
493	3398	41
494	3405	34
495	3412	27
496	3419	20
497	3426	13
498	3433	6
499	3440	0
